,precision,recall,f1-score,support
normal,0.9226519337016574,0.9970149253731343,0.9583931133428981,335.0
pneumonia,0.9832535885167464,1.0,0.991556091676719,411.0
tuberculosis,1.0,0.9486404833836858,0.9736434108527132,662.0
accuracy,0.9751420454545454,0.9751420454545454,0.9751420454545454,0.9751420454545454
macro avg,0.9686351740728013,0.9818851362522732,0.9745308719574434,1408.0
weighted avg,0.9767085388284361,0.9751420454545454,0.9752437390862916,1408.0
