,precision,recall,f1-score,support
normal,0.7536704730831973,0.5133333333333333,0.6107072042300066,900.0
pneumonia,0.7671601615074024,1.0,0.8682406702208683,570.0
tuberculosis,0.7733446519524618,0.856203007518797,0.8126672613737734,1064.0
accuracy,0.7667719021310182,0.7667719021310182,0.7667719021310182,0.7667719021310182
macro avg,0.7647250955143537,0.78984544695071,0.7638717119415493,2534.0
weighted avg,0.7649658356399038,0.7667719021310182,0.7534378973696115,2534.0
